#Release  - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Thu Jan 04 10:27:14 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       ADC0_map.ncd
#OUTPUT FILE:      ADC0_pad.csv
#PART TYPE:        xc4vlx200
#SPEED GRADE:      -10
#PACKAGE:          ff1513
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AE1,,IOBS,IO_L26N_16,UNUSED,,16,,,,,,,,,,
AE2,,LOWCAPIOB,IO_L24N_CC_LC_16,UNUSED,,16,,,,,,,,,,
AE3,,LOWCAPIOB,IO_L24P_CC_LC_16,UNUSED,,16,,,,,,,,,,
AE4,,IOBS,IO_L27N_16,UNUSED,,16,,,,,,,,,,
AE5,,,VCCO_16,,,16,,,,,any******,,,,,
AE6,,IOBM,IO_L28P_16,UNUSED,,16,,,,,,,,,,
AE7,,,VCCINT,,,,,,,,1.2,,,,,
AE8,,IOBS,IO_L31N_16,UNUSED,,16,,,,,,,,,,
AE9,,IOBM,IO_L31P_16,UNUSED,,16,,,,,,,,,,
AE10,,,GND,,,,,,,,,,,,,
AE11,,IOBS,IO_L12N_VREF_12,UNUSED,,12,,,,,,,,,,
AE12,,IOBM,IO_L12P_12,UNUSED,,12,,,,,,,,,,
AE13,,,VCCINT,,,,,,,,1.2,,,,,
AE14,,,GND,,,,,,,,,,,,,
AE15,,,VCCINT,,,,,,,,1.2,,,,,
AE16,,,GND,,,,,,,,,,,,,
AE17,,,VCCINT,,,,,,,,1.2,,,,,
AE18,,LOWCAPIOB,IO_L20P_LC_2,UNUSED,,2,,,,,,,,,,
AE19,,,VCCINT,,,,,,,,1.2,,,,,
AE20,,,GND,,,,,,,,,,,,,
AE21,,,VCCINT,,,,,,,,1.2,,,,,
AE22,,LOWCAPIOB,IO_L19P_LC_2,UNUSED,,2,,,,,,,,,,
AE23,,LOWCAPIOB,IO_L33P_LC_2,UNUSED,,2,,,,,,,,,,
AE24,,LOWCAPIOB,IO_L9N_CC_LC_11,UNUSED,,11,,,,,,,,,,
AE25,,,VCCO_11,,,11,,,,,any******,,,,,
AE26,,IOBS,IO_L5N_11,UNUSED,,11,,,,,,,,,,
AE27,,,VCCINT,,,,,,,,1.2,,,,,
AE28,,IOBM,IO_L10P_11,UNUSED,,11,,,,,,,,,,
AE29,,IOBS,IO_L10N_11,UNUSED,,11,,,,,,,,,,
AE30,,,GND,,,,,,,,,,,,,
AE31,,IOBM,IO_L4P_11,UNUSED,,11,,,,,,,,,,
AE32,,IOBS,IO_L4N_VREF_11,UNUSED,,11,,,,,,,,,,
AE33,,,VCCINT,,,,,,,,1.2,,,,,
AE34,,IOBM,IO_L18P_15,UNUSED,,15,,,,,,,,,,
AE35,,,VCCO_15,,,15,,,,,any******,,,,,
AE36,,IOBS,IO_L20N_VREF_15,UNUSED,,15,,,,,,,,,,
AE37,,IOBM,IO_L16P_15,UNUSED,,15,,,,,,,,,,
AE38,,IOBS,IO_L16N_15,UNUSED,,15,,,,,,,,,,
AE39,,IOBM,IO_L12P_15,UNUSED,,15,,,,,,,,,,
AF1,,IOBM,IO_L26P_16,UNUSED,,16,,,,,,,,,,
AF2,,,VCCO_16,,,16,,,,,any******,,,,,
AF3,,IOBS,IO_L32N_16,UNUSED,,16,,,,,,,,,,
AF4,,IOBM,IO_L27P_16,UNUSED,,16,,,,,,,,,,
AF5,,IOBS,IO_L29N_16,UNUSED,,16,,,,,,,,,,
AF6,,IOBM,IO_L29P_16,UNUSED,,16,,,,,,,,,,
AF7,,,GND,,,,,,,,,,,,,
AF8,,IOBS,IO_L6N_12,UNUSED,,12,,,,,,,,,,
AF9,,IOBM,IO_L6P_12,UNUSED,,12,,,,,,,,,,
AF10,,,VCCAUX,,,,,,,,2.5,,,,,
AF11,,IOBM,IO_L11P_12,UNUSED,,12,,,,,,,,,,
AF12,,,VCCO_12,,,12,,,,,any******,,,,,
AF13,,,GND,,,,,,,,,,,,,
AF14,,,VCCINT,,,,,,,,1.2,,,,,
AF15,,,GND,,,,,,,,,,,,,
AF16,,,VCCINT,,,,,,,,1.2,,,,,
AF17,,,GND,,,,,,,,,,,,,
AF18,,LOWCAPIOB,IO_L2N_GC_LC_4,UNUSED,,4,,,,,,,,,,
AF19,ADC_CLK,IOB,IO_L2P_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF20,SEG_DAT<4>,IOB,IO_L4N_GC_VREF_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF21,,LOWCAPIOB,IO_L17N_LC_2,UNUSED,,2,,,,,,,,,,
AF22,,,VCCO_2,,,2,,,,,any******,,,,,
AF23,,LOWCAPIOB,IO_L33N_LC_2,UNUSED,,2,,,,,,,,,,
AF24,,,VCCINT,,,,,,,,1.2,,,,,
AF25,,,GND,,,,,,,,,,,,,
AF26,,,VCCINT,,,,,,,,1.2,,,,,
AF27,,,GND,,,,,,,,,,,,,
AF28,,IOBM,IO_L13P_11,UNUSED,,11,,,,,,,,,,
AF29,,IOBS,IO_L13N_11,UNUSED,,11,,,,,,,,,,
AF30,,,VCCAUX,,,,,,,,2.5,,,,,
AF31,,IOBM,IO_L6P_11,UNUSED,,11,,,,,,,,,,
AF32,,,VCCO_11,,,11,,,,,any******,,,,,
AF33,,IOBS,IO_L1N_11,UNUSED,,11,,,,,,,,,,
AF34,,LOWCAPIOB,IO_L24P_CC_LC_15,UNUSED,,15,,,,,,,,,,
AF35,,LOWCAPIOB,IO_L24N_CC_LC_15,UNUSED,,15,,,,,,,,,,
AF36,,IOBM,IO_L20P_15,UNUSED,,15,,,,,,,,,,
AF37,,,GND,,,,,,,,,,,,,
AF38,,IOBM,IO_L13P_15,UNUSED,,15,,,,,,,,,,
AF39,,IOBS,IO_L13N_15,UNUSED,,15,,,,,,,,,,
AG1,,IOBS,IO_L30N_16,UNUSED,,16,,,,,,,,,,
AG2,,IOBM,IO_L30P_16,UNUSED,,16,,,,,,,,,,
AG3,,IOBM,IO_L32P_16,UNUSED,,16,,,,,,,,,,
AG4,,,GND,,,,,,,,,,,,,
AG5,,IOBS,IO_L1N_12,UNUSED,,12,,,,,,,,,,
AG6,,IOBS,IO_L3N_12,UNUSED,,12,,,,,,,,,,
AG7,,IOBM,IO_L3P_12,UNUSED,,12,,,,,,,,,,
AG8,,IOBM,IO_L7P_12,UNUSED,,12,,,,,,,,,,
AG9,,,VCCO_12,,,12,,,,,any******,,,,,
AG10,,IOBS,IO_L11N_12,UNUSED,,12,,,,,,,,,,
AG11,,,VCCINT,,,,,,,,1.2,,,,,
AG12,,,GND,,,,,,,,,,,,,
AG13,,,VCCINT,,,,,,,,1.2,,,,,
AG14,,,GND,,,,,,,,,,,,,
AG15,,,VCCINT,,,,,,,,1.2,,,,,
AG16,,LOWCAPIOB,IO_L8N_D0_LC_2,UNUSED,,2,,,,,,,,,,
AG17,,LOWCAPIOB,IO_L18N_LC_2,UNUSED,,2,,,,,,,,,,
AG18,SEG_DAT<0>,IOB,IO_L6N_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG19,,,VCCO_4,,,4,,,,,2.50,,,,,
AG20,SEG_DAT<5>,IOB,IO_L4P_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG21,,,VCCINT,,,,,,,,1.2,,,,,
AG22,,LOWCAPIOB,IO_L17P_LC_2,UNUSED,,2,,,,,,,,,,
AG23,,LOWCAPIOB,IO_L29P_LC_2,UNUSED,,2,,,,,,,,,,
AG24,,,GND,,,,,,,,,,,,,
AG25,,,VCCINT,,,,,,,,1.2,,,,,
AG26,,,GND,,,,,,,,,,,,,
AG27,,,VCCINT,,,,,,,,1.2,,,,,
AG28,,IOBM,IO_L21P_11,UNUSED,,11,,,,,,,,,,
AG29,,,VCCO_11,,,11,,,,,any******,,,,,
AG30,,IOBS,IO_L15N_11,UNUSED,,11,,,,,,,,,,
AG31,,,VCCINT,,,,,,,,1.2,,,,,
AG32,,IOBS,IO_L6N_11,UNUSED,,11,,,,,,,,,,
AG33,,IOBM,IO_L1P_11,UNUSED,,11,,,,,,,,,,
AG34,,,GND,,,,,,,,,,,,,
AG35,,IOBM,IO_L26P_15,UNUSED,,15,,,,,,,,,,
