Release 7.1.04i - par H.42
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

Wed Jul 04 00:51:38 2007


INPUT FILE:       FPGA1_map.ncd
OUTPUT FILE:      FPGA1_pad.txt
PART TYPE:        xc4vlx200
SPEED GRADE:      -10
PACKAGE:          ff1513

Pinout by Pin Number:

+----------+---------------------+---------+--------------------+---------+-----------+--------------+----------+---------+-----------+---------+---------+----------+---------+-----------+----------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name            |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|DCI Value|IO Register|Signal Integrity|
|AC28      |HWDATA_S0[13]        |IOB      |IO_L2P_11           |INPUT    |LVCMOS25   |11            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AC29      |                     |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |         |           |                |
|AC30      |HADDR_S0[20]         |IOB      |IO_L15P_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AC31      |                     |         |VCCO_15             |         |           |15            |          |         |           |         |2.50     |          |         |           |                |
|AC32      |HADDR_S0[12]         |IOB      |IO_L11P_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AC33      |HADDR_S0[8]          |IOB      |IO_L9P_CC_LC_15     |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AC34      |HADDR_S0[9]          |IOB      |IO_L9N_CC_LC_15     |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AC35      |HADDR_S0[4]          |IOB      |IO_L7P_15           |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AC36      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AC37      |HADDR_S0[11]         |IOB      |IO_L10N_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AC38      |HADDR_S0[0]          |IOB      |IO_L5P_15           |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AC39      |HADDR_S0[1]          |IOB      |IO_L5N_15           |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD1       |                     |IOBS     |IO_L18N_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AD2       |                     |IOBM     |IO_L18P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AD3       |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AD4       |                     |IOBS     |IO_L19N_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AD5       |                     |IOBM     |IO_L19P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AD6       |                     |IOBS     |IO_L28N_VREF_16     |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AD7       |                     |IOBM     |IO_L23P_VRN_16      |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AD8       |                     |         |VCCO_16             |         |           |16            |          |         |           |         |any******|          |         |           |                |
|AD9       |                     |IOBS     |IO_L22N_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AD10      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AD11      |                     |LOWCAPIOB|IO_L25N_CC_LC_16    |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AD12      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AD13      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AD14      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AD15      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
