#Release  - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Mon Dec 18 09:50:04 2006

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       U60_map.ncd
#OUTPUT FILE:      U60_pad.csv
#PART TYPE:        xc4vlx200
#SPEED GRADE:      -10
#PACKAGE:          ff1513
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AC37,FPGA_CON<211>,IOB,IO_L10N_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AC38,FPGA_CON<200>,IOB,IO_L5P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AC39,FPGA_CON<201>,IOB,IO_L5N_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AD1,USER_SW,IOB,IO_L18N_16,INPUT,LVCMOS25,16,,,,NONE,,LOCATED,,NO,NONE,
AD2,,IOBM,IO_L18P_16,UNUSED,,16,,,,,,,,,,
AD3,,,GND,,,,,,,,,,,,,
AD4,,IOBS,IO_L19N_16,UNUSED,,16,,,,,,,,,,
AD5,,IOBM,IO_L19P_16,UNUSED,,16,,,,,,,,,,
AD6,,IOBS,IO_L28N_VREF_16,UNUSED,,16,,,,,,,,,,
AD7,,IOBM,IO_L23P_VRN_16,UNUSED,,16,,,,,,,,,,
AD8,,,VCCO_16,,,16,,,,,2.50,,,,,
AD9,,IOBS,IO_L22N_16,UNUSED,,16,,,,,,,,,,
AD10,,,VCCINT,,,,,,,,1.2,,,,,
AD11,,LOWCAPIOB,IO_L25N_CC_LC_16,UNUSED,,16,,,,,,,,,,
AD12,,,VCCINT,,,,,,,,1.2,,,,,
AD13,,,GND,,,,,,,,,,,,,
AD14,,,VCCINT,,,,,,,,1.2,,,,,
AD15,,,GND,,,,,,,,,,,,,
AD16,,,VCCINT,,,,,,,,1.2,,,,,
AD17,,LOWCAPIOB,IO_L20N_VREF_LC_2,UNUSED,,2,,,,,,,,,,
AD18,,,VCCO_2,,,2,,,,,any******,,,,,
AD19,,,GND,,,,,,,,,,,,,
AD20,,,VCCINT,,,,,,,,1.2,,,,,
AD21,,LOWCAPIOB,IO_L19N_LC_2,UNUSED,,2,,,,,,,,,,
AD22,,,VCCINT,,,,,,,,1.2,,,,,
AD23,,,GND,,,,,,,,,,,,,
AD24,,,VCCINT,,,,,,,,1.2,,,,,
AD25,FPGA_CON<272>,IOB,IO_L9P_CC_LC_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AD26,FPGA_CON<264>,IOB,IO_L5P_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AD27,FPGA_CON<260>,IOB,IO_L3P_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AD28,,,VCCO_11,,,11,,,,,2.50,,,,,
AD29,FPGA_CON<259>,IOB,IO_L2N_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AD30,,,VCCINT,,,,,,,,1.2,,,,,
AD31,FPGA_CON<228>,IOB,IO_L19P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AD32,FPGA_CON<229>,IOB,IO_L19N_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AD33,,,GND,,,,,,,,,,,,,
AD34,FPGA_CON<227>,IOB,IO_L18N_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AD35,FPGA_CON<218>,IOB,IO_L14P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AD36,FPGA_CON<219>,IOB,IO_L14N_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AD37,FPGA_CON<210>,IOB,IO_L10P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AD38,,,VCCO_15,,,15,,,,,2.50,,,,,
AD39,FPGA_CON<215>,IOB,IO_L12N_VREF_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AE1,,IOBS,IO_L26N_16,UNUSED,,16,,,,,,,,,,
AE2,,LOWCAPIOB,IO_L24N_CC_LC_16,UNUSED,,16,,,,,,,,,,
AE3,,LOWCAPIOB,IO_L24P_CC_LC_16,UNUSED,,16,,,,,,,,,,
AE4,,IOBS,IO_L27N_16,UNUSED,,16,,,,,,,,,,
AE5,,,VCCO_16,,,16,,,,,2.50,,,,,
AE6,,IOBM,IO_L28P_16,UNUSED,,16,,,,,,,,,,
AE7,,,VCCINT,,,,,,,,1.2,,,,,
AE8,,IOBS,IO_L31N_16,UNUSED,,16,,,,,,,,,,
